Name,Address,Postal Code,Locality,Region,Phones,Website
ΣΙΑΠΛΑΟΥΡΑΣ,4ο χλμ Ιωαννίνων - Αθηνών,452 21,Ιωάννινα,Ιωαννίνων,265 104 5268,https://metafores-ipirou.gr/
MULTISTUDIES,28ης Οκτωβρίου 6,454 44,Ιωάννινα,Ιωαννίνων,"265 118 1348, 694 146 0059",https://multistudies.gr/
Κ.Δ.Β.Μ. FUTURE VOICE,Ζέρβα Ναπολέοντος 42,453 32,Ιωάννινα,Ιωαννίνων,"265 102 0777, 693 833 4226",https://www.futurevoice.edu.gr/
COMPUTER NET,Δήμαρχου Πυρσινέλλα Βασίλειου 10,453 32,Ιωάννινα,Ιωαννίνων,265 102 0600,https://www.facebook.com/computernet.gr
COMPUTER DATA - Ιωάννινα,Λεωφόρος Δωδώνης 68,453 32,Ιωάννινα,Ιωαννίνων,265 104 2525,https://www.xo.gr/profile/profile-911327830/el/
ENGLISNET ΚΙΚΟΠΟΥΛΟΥ,Βελουχιώτη Άρη 42,453 32,Ιωάννινα,Ιωαννίνων,265 104 3590,https://www.xo.gr/profile/profile-911634743/el/
ΔΙΔΑΣΚΑΛΕΙΟ ΧΗΜΕΙΑΣ-ΕΡΡΙΚΟΣ ΠΕΤΣΙΟΣ,Τρικούπη Χαρίλαου 27 & Μιχαήλ Άγγελου,453 32,Ιωάννινα,Ιωαννίνων,"265 107 8700, 694 752 9455",https://www.xo.gr/profile/profile-911277785/el/
TECHNONET,Ζυγομάλλη Περικλή 19,453 32,Ιωάννινα,Ιωαννίνων,"265 107 4474, 693 215 7612",https://www.xo.gr/profile/profile-911545550/el/
COMPUTERNET,Πυρσινέλλα 10,453 32,Ιωάννινα,Ιωαννίνων,265 102 0600,https://www.xo.gr/profile/profile-911010913/el/
ΕΥΡΩΓΝΩΣΗ,Δήμαρχου Πυρσινέλλα Βασίλειου 10,453 32,Ιωάννινα,Ιωαννίνων,265 102 0600,https://www.eurognosi.com/
ΕΡΓΑΣΤΗΡΙΟ ΑΙΣΘΗΤΙΚΗΣ ΣΚΟΥΤΕΡΗ,Δοσίου Νικόλαου 17Α,453 33,Ιωάννινα,Ιωαννίνων,"265 106 4645, 697 721 1634",https://www.xo.gr/profile/profile-911277456/el/
ΔΩΔΩΝΑΙΑ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΕ,Διονύσου 4,455 00,Σταυράκι,Ιωαννίνων,"265 104 4500, 693 621 5060",https://www.xo.gr/profile/profile-909049870/el/
ΑΡΙΣΤΟΝ,Λεωφόρος Δωδώνης 84,453 32,Ιωάννινα,Ιωαννίνων,265 140 2858,https://www.facebook.com/ariston.edu.ioa
PLANTECH ΕΠΕ,Καλούδη Γεώργιου 14,452 21,Ιωάννινα,Ιωαννίνων,265 105 4300,https://www.xo.gr/profile/profile-906551017/el/
CINTECH,21ης Φεβρουαρίου 188,452 21,Ιωάννινα,Ιωαννίνων,"265 106 5330, 693 686 3696",https://www.xo.gr/profile/profile-910292841/el/
UNIVEYE,,454 44,Ιωάννινα,Ιωαννίνων,265 100 7651,https://www.xo.gr/profile/profile-911551201/el/
RUNET SOFTWARE,Αδελφών Ριζάρη 51,452 21,Ιωάννινα,Ιωαννίνων,265 104 8900,https://www.xo.gr/profile/profile-910012508/el/
NATECH - Ιωάννινα,Λεωφόρος Νιάρχου Σταύρου 85,453 32,Ιωάννινα,Ιωαννίνων,265 107 7300,https://www.xo.gr/profile/profile-911615838/el/
SENSEWORKS - Ιωάννινα,,454 44,Ιωάννινα,Ιωαννίνων,265 104 8041,https://www.xo.gr/profile/profile-911551192/el/
PC SPOT,Στρατηγού Σακελλάριου 1-3,453 33,Ιωάννινα,Ιωαννίνων,"265 102 3013, 694 494 1162",https://www.xo.gr/profile/profile-911278278/el/
NEURON ENERGY,,454 44,Ιωάννινα,Ιωαννίνων,265 150 0012,https://www.xo.gr/profile/profile-911551186/el/
COMPUTER PLUS - Ιωάννινα,Λεωφόρος Δωδώνης 43,452 21,Ιωάννινα,Ιωαννίνων,265 106 7220,https://www.xo.gr/profile/profile-911616701/el/
ΚΑΛΦΙΝ ΠΕΤΡΟΣ,,455 00,Κοσμηρά,Ιωαννίνων,265 109 4016,https://www.xo.gr/profile/profile-906229252/el/
TERRACOM - ΠΛΗΡΟΦΟΡΙΚΗ ΕΠΕ,Εθνικής Αντίστασης (τ. Μαρούλη Δημήτριου) 51,455 50,Κατσικάς,Ιωαννίνων,265 109 4334,https://www.xo.gr/profile/profile-906549341/el/
CLICK SOLUTIONS,ΕΠΙΣΤ. & ΤΕΧΝΟΛΟΓΙΚΟ ΠΑΡΚΟ,,Ιωάννινα,Ιωαννίνων,265 107 8882,https://www.xo.gr/profile/profile-906550961/el/
COMITECH ΑΕ,"Επιστημονικό & Τεχνολογικό Πάρκο Ηπείρου, Πανεπιστημιούπολη",454 44,Ιωάννινα,Ιωαννίνων,"265 104 5757, 697 231 2398",https://www.xo.gr/profile/profile-906557135/el/
SIMPLE SOLUTIONS,Τεχνολογικό Πάρκο Ηπείρου,454 45,Ιωάννινα,Ιωαννίνων,265 100 2514,https://www.xo.gr/profile/profile-911321180/el/
ΝΙΚΙ - Ιωάννινα,Εθνικής Αντιστάσεως 205,452 21,Ιωάννινα,Ιωαννίνων,265 108 5240,https://www.xo.gr/profile/profile-911621753/el/
IQ SOFT - Ανατολή,Λεωφόρος Ιωαννίνων 11ο ΧΛΜ,452 22,Ανατολή,Ιωαννίνων,265 109 2287,https://www.xo.gr/profile/profile-906555934/el/
REALHOUSES - ΠΑΠΑΝΤΩΝΙΟΥ ΑΝΤΩΝΗΣ,Πουλίτσα Παναγιώτη 2,452 21,Ιωάννινα,Ιωαννίνων,"265 102 2333, 694 358 4327",https://www.realhouses.gr/
ΑΝΑΚΥΚΛΩΤΙΚΗ ΕΤΑΙΡΕΙΑ ΕΥΤΑΞΙΑ - ΑΝΕΤΕ Α.Β.Ε.Ε.,,455 00,Βιομηχανική Περιοχή Ιωαννίνων,Ιωαννίνων,"265 105 7270, 693 616 0841",https://www.anete-anakyklosi.gr/
